岗位,职位,薪资,公司,城市,经验,学历,领域,规模,性质,技能要求,招聘人数,公司详情页,职位详情页,处理后的薪资,平均月薪(元),平均月薪
Python开发工程师,python后端开发工程师,6000-9000元·13薪,河南锐伴传媒科技有限公司,济源市,经验不限,学历不限,广播/影视,100-299人,民营,"Java, Sql, C++, Django, Tornado, Flask, MySQL, PostgreSQL, Oracle",10,http://company.zhaopin.com/CZL1493531940.htm,http://jobs.zhaopin.com/CCL1493531940J40684384011.htm,6.0-9.0k,7500.0,7.5k
Python开发工程师,java/c++/C/Python/前端开发工程师,1.5-3万·14薪,外企德科数字技术有限公司,深圳,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python",22,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40614947605.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python软件开发工程师,5000-8000元·13薪,河南端琪实业发展有限公司,漯河,经验不限,学历不限,电子设备制造,100-299人,民营,"Java, Sql, C++, Django, Tornado, MySQL, PostgreSQL",10,http://company.zhaopin.com/CZL1478071580.htm,http://jobs.zhaopin.com/CCL1478071580J40700352207.htm,5.0-8.0k,6500.0,6.5k
Python开发工程师,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,福州,经验不限,本科,专业技术服务,10000人以上,合资,"C#, Java, Python, MySQL",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40734023605.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python开发工程师,1-1.2万,陕西启业实业集团有限公司,西安,3-5年,大专,人力资源服务,100-299人,民营,"Python, ElasticSearch, Kibana, PostgreSQL",1,http://company.zhaopin.com/CZ366917230.htm,http://jobs.zhaopin.com/CC366917230J40782614505.htm,10.0-12.0k,11000.0,11.0k
Python开发工程师,python后端开发工程师,4000-6000元,重庆瑞森晋达科技有限责任公司,重庆,1-3年,大专,人工智能,20-99人,其他,"MySQL, Redis, Django, C++",1,http://company.zhaopin.com/CZL1501242720.htm,http://jobs.zhaopin.com/CCL1501242720J40754796510.htm,4.0-6.0k,5000.0,5.0k
Python开发工程师,python开发（持续集成）,1-1.6万,软通动力信息技术(集团)股份有限公司,杭州,1-3年,本科,互联网,10000人以上,民营,"Python, 持续集成CI",3,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40610218816.htm,10.0-16.0k,13000.0,13.0k
Python开发工程师,python开发助理,5000-10000元,西安正麦科技有限公司,西安,经验不限,本科,计算机软件,20人以下,其他,"MySQL, Sql",5,http://company.zhaopin.com/CZL1484160000.htm,http://jobs.zhaopin.com/CCL1484160000J40559239716.htm,5.0-10.0k,7500.0,7.5k
Python开发工程师,软件开发工程师Python,1.3-2.6万·14薪,外企德科数字技术有限公司,杭州,经验不限,本科,专业技术服务,10000人以上,合资,MySQL,10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40653598805.htm,13.0-26.0k,19500.0,19.5k
Python开发工程师,Python开发,1-1.6万,软通动力信息技术(集团)股份有限公司,东莞,3-5年,本科,互联网,10000人以上,民营,"MySQL, Django, Java, Python",3,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40695017716.htm,10.0-16.0k,13000.0,13.0k
Python开发工程师,Python开发工程师（人工智能 AI）,6000-8000元,哈尔滨华泽数码科技有限公司,哈尔滨,1-3年,本科,计算机软件,100-299人,民营,DEEPSEEK,1,http://company.zhaopin.com/%E5%93%88%E5%B0%94%E6%BB%A8%E5%8D%8E%E6%B3%BD%E6%95%B0%E7%A0%81%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC157995922.htm,http://jobs.zhaopin.com/CC157995920J40718620711.htm,6.0-8.0k,7000.0,7.0k
Python开发工程师,软件开发工程师Python,1.3-2.6万·14薪,外企德科数字技术有限公司,苏州,经验不限,本科,专业技术服务,10000人以上,合资,MySQL,10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40653598505.htm,13.0-26.0k,19500.0,19.5k
Python开发工程师,python开发,1-1.5万,软通动力信息技术(集团)股份有限公司,杭州,1-3年,本科,互联网,10000人以上,民营,Python,1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40719400816.htm,10.0-15.0k,12500.0,12.5k
Python开发工程师,python后端开发工程师,7000-10000元·13薪,青岛吉奥赛思信息科技有限公司,东营,1-3年,大专,互联网,20人以下,民营,"Sql, JavaScript, Flask, Django, MySQL, PostgreSQL, Redis",1,http://company.zhaopin.com/CC368693089.htm,http://jobs.zhaopin.com/CC368693080J40642521905.htm,7.0-10.0k,8500.0,8.5k
Python开发工程师,C/C++/Java/JS/Python软件开发【全国有岗】,1.5-3万,外企德科数字技术有限公司,厦门,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40732894205.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python开发工程师,1.2-1.6万,软通动力信息技术(集团)股份有限公司,深圳,1-3年,本科,互联网,10000人以上,民营,"C, C++, Python",4,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40710981216.htm,12.0-16.0k,14000.0,14.0k
Python开发工程师,AI开发工程师（Python）-深圳坂田,1.6-2.5万·13薪,万宝盛华企业管理咨询(上海)有限公司大连分公司,深圳,3-5年,本科,互联网,1000-9999人,上市公司,HR系统,1,http://company.zhaopin.com/CZ880319660.htm,http://jobs.zhaopin.com/CC880319660J40835746015.htm,16.0-25.0k,20500.0,20.5k
Python开发工程师,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,成都,经验不限,本科,专业技术服务,10000人以上,合资,"C#, Java, Python, MySQL",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704710005.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python开发,1.1-1.6万,软通动力信息技术(集团)股份有限公司,深圳,1-3年,本科,互联网,10000人以上,民营,Python,1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40714457416.htm,11.0-16.0k,13500.0,13.5k
Python开发工程师,python开发,8000-16000元·13薪,河南九御博电电气工程有限公司,郑州,经验不限,大专,电力/水利/热力/燃气,100-299人,民营,"Python, Django, MySQL",6,http://company.zhaopin.com/CZ859521860.htm,http://jobs.zhaopin.com/CC859521860J40644443501.htm,8.0-16.0k,12000.0,12.0k
Python开发工程师,Python开发,1-1.7万,软通动力信息技术(集团)股份有限公司,杭州,1-3年,本科,互联网,10000人以上,民营,Django,5,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40561201916.htm,10.0-17.0k,13500.0,13.5k
Python开发工程师,python后端开发工程师,6000-9000元,深圳市鸿云恒达科技有限公司,清远,1-3年,大专,通信/网络设备,500-999人,民营,"Python, 后端开发, 开发工程师",1,http://company.zhaopin.com/CZ252544430.htm,http://jobs.zhaopin.com/CC252544430J40719968616.htm,6.0-9.0k,7500.0,7.5k
Python开发工程师,Python/C/C++/测试/Java/Js/运维/数据开发（线上面+全国地点可协调）,1.5-3万·14薪,外企德科数字技术有限公司,苏州,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, 嵌入式开发, Linux开发, C++, Java, Python, Web开发, PyTorch, MySQL, Redis",20,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40725946705.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python开发工程师,7000-10000元,软通动力信息技术(集团)股份有限公司,西安,1-3年,本科,互联网,10000人以上,民营,"Python, Linux, 后端开发",2,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40197525916.htm,7.0-10.0k,8500.0,8.5k
Python开发工程师,C/C++/Java/JS/Python软件开发【全国有岗】,1.5-3万·14薪,外企德科数字技术有限公司,重庆,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40732891405.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python后端开发工程师,6000-9000元·14薪,宁德岭阳电子科技有限公司,宁德,1-3年,大专,电子/半导体/集成电路,20-99人,其他,"Django, Flask, Pandas, GIT, Linux",1,http://company.zhaopin.com/CZ851592670.htm,http://jobs.zhaopin.com/CC851592670J40807103908.htm,6.0-9.0k,7500.0,7.5k
Python开发工程师,Python开发,9000-12000元,紫光云数,杭州,1-3年,本科,通信/网络设备,1000-9999人,合资,Python,1,http://company.zhaopin.com/CC466500680.htm,http://jobs.zhaopin.com/CC466500680J40142583004.htm,9.0-12.0k,10500.0,10.5k
Python开发工程师,python开发工程师,1.3-2万,外企德科数字技术有限公司,西安,5-10年,本科,专业技术服务,10000人以上,合资,Python,1,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40779575705.htm,13.0-20.0k,16500.0,16.5k
Python开发工程师,Python工程师,2-4万·16薪,陕西慧云联达企业管理咨询有限公司,上海,经验不限,本科,人力资源服务,20-99人,民营,Python,10,http://company.zhaopin.com/CZL1445845820.htm,http://jobs.zhaopin.com/CCL1445845820J40738850605.htm,20.0-40.0k,30000.0,30.0k
Python开发工程师,C++/前端/Java/Python/C/go开发工程师,1.5-3万·14薪,外企德科数字技术有限公司,苏州,经验不限,本科,专业技术服务,10000人以上,合资,"Java, Python, C语言, Web开发, 嵌入式开发, 图形图像处理",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40702907705.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python开发,1.1-1.6万,软通动力信息技术(集团)股份有限公司,西安,1-3年,本科,互联网,10000人以上,民营,"MySQL, Java, Sql, Django",1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40654867616.htm,11.0-16.0k,13500.0,13.5k
Python开发工程师,python开发,1.5-1.8万,中电金信软件有限公司,上海,3-5年,本科,计算机软件,10000人以上,国企,Golang,1,http://company.zhaopin.com/CZ443657520.htm,http://jobs.zhaopin.com/CC443657520J40717641709.htm,15.0-18.0k,16500.0,16.5k
Python开发工程师,C/C++/Java/JS/Python软件开发【全国有岗】,1.5-3万,外企德科数字技术有限公司,南昌,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40734432305.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,中级python开发工程师+双休+五险,7000-9000元,河南龙翼信息技术有限公司,郑州,3-5年,大专,IT服务,100-299人,民营,Python,2,http://company.zhaopin.com/CZ394795810.htm,http://jobs.zhaopin.com/CC394795810J40740198511.htm,7.0-9.0k,8000.0,8.0k
Python开发工程师,python后端开发工程师,1-1.5万,软通动力信息技术(集团)股份有限公司,东莞,经验不限,本科,互联网,10000人以上,民营,PYTHON开发,1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40695735916.htm,10.0-15.0k,12500.0,12.5k
Python开发工程师,软件开发工程师（C/C++/Java/Python/js）,1.5-3万·14薪,外企德科数字技术有限公司,西安,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python, Web开发, 嵌入式开发, MySQL, Oracle, Redis",1,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704187305.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python开发,1-1.5万,软通动力信息技术(集团)股份有限公司,深圳,1-3年,本科,互联网,10000人以上,民营,"自动化, 自动化工具开发",1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40707184316.htm,10.0-15.0k,12500.0,12.5k
Python开发工程师,月薪15-35k/java/c++/python后端开发/,1.7-2.7万,外企德科数字技术有限公司,上海,经验不限,本科,专业技术服务,10000人以上,合资,"Java, C++, C",1,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40780553405.htm,17.0-27.0k,22000.0,22.0k
Python开发工程师,python开发,1.6-2万,上海坡比智能科技有限公司,上海,经验不限,大专,互联网,20人以下,其他,"Python, Docker",1,http://company.zhaopin.com/CZL1244858560.htm,http://jobs.zhaopin.com/CCL1244858560J40753880410.htm,16.0-20.0k,18000.0,18.0k
Python开发工程师,python开发,1.3-1.7万,软通动力信息技术(集团)股份有限公司,上海,3-5年,本科,互联网,10000人以上,民营,"Django, Tornado, Flask",1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40712501816.htm,13.0-17.0k,15000.0,15.0k
Python开发工程师,软件开发工程师（java/C++/Python/前端/GO）,1.2-2万,外企德科数字技术有限公司,深圳,1年以下,本科,专业技术服务,10000人以上,合资,"Java, Sql, C, MySQL, 985, 211",10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40780412905.htm,12.0-20.0k,16000.0,16.0k
Python开发工程师,python开发,1.3-1.8万,软通动力信息技术(集团)股份有限公司,上海,3-5年,本科,互联网,10000人以上,民营,Python,1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40704880416.htm,13.0-18.0k,15500.0,15.5k
Python开发工程师,AI软件开发工程师(C++/python),1.5-3万,外企德科数字技术有限公司,北京,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, C#, Java, MFC, STL, PyTorch",1,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40781628705.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python（人工智能）开发工程师实习生,100-120元/天,福州软件园科技创新发展有限公司,福州,无经验,本科,计算机软件,20-99人,国企,"Python web框架, Python可视化库, Python并发框架, Python爬虫框架",1,http://company.zhaopin.com/CZL1288540410.htm,http://jobs.zhaopin.com/CCL1288540410J40470977412.htm,3.3k,3300.0,3.3k
Python开发工程师,软件开发工程师Python,1.3-2.6万·14薪,外企德科数字技术有限公司,成都,经验不限,本科,专业技术服务,10000人以上,合资,MySQL,10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40653598305.htm,13.0-26.0k,19500.0,19.5k
Python开发工程师,资深python后端开发工程师,1.5-3万·14薪,陕西慧云联达企业管理咨询有限公司,南京,经验不限,本科,人力资源服务,20-99人,民营,Python,10,http://company.zhaopin.com/CZL1445845820.htm,http://jobs.zhaopin.com/CCL1445845820J40782219705.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python开发工程师,8000-16000元,河南伊林达物联网有限公司,郑州,经验不限,大专,电子商务,20-99人,其他,"Django, MySQL",5,http://company.zhaopin.com/CZL1484315330.htm,http://jobs.zhaopin.com/CCL1484315330J40723960511.htm,8.0-16.0k,12000.0,12.0k
Python开发工程师,软件开发工程师Python,1.3-2.6万·14薪,外企德科数字技术有限公司,武汉,经验不限,本科,专业技术服务,10000人以上,合资,MySQL,10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40653598605.htm,13.0-26.0k,19500.0,19.5k
Python开发工程师,python开发工程师,7000-10000元,青岛智力云人工智能科技有限公司,青岛,1年以下,本科,电子设备制造,20-99人,民营,"Java, 搜索引擎技术, 软件工程师",3,http://company.zhaopin.com/CZL1387406520.htm,http://jobs.zhaopin.com/CCL1387406520J40371855714.htm,7.0-10.0k,8500.0,8.5k
Python开发工程师,Python开发,6000-11000元,南京绛门信息科技有限公司,天津,经验不限,本科,计算机软件,1000-9999人,上市公司,"Django, MySQL, Redis, SQLServer",1,http://company.zhaopin.com/%E5%8D%97%E4%BA%AC%E7%BB%9B%E9%97%A8%E9%80%9A%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC426773328.htm,http://jobs.zhaopin.com/CC426773320J40781866605.htm,6.0-11.0k,8500.0,8.5k
Python开发工程师,python后端开发工程师,1-1.7万,软通动力信息技术(集团)股份有限公司,深圳,经验不限,本科,互联网,10000人以上,民营,"Shell, Python",10,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40586072516.htm,10.0-17.0k,13500.0,13.5k
Python开发工程师,Python开发工程师,1.5-3万,外企德科数字技术有限公司,北京,1-3年,本科,专业技术服务,10000人以上,合资,"Sql, C++, Shell, Django, Tornado, Flask, MySQL, PostgreSQL, Oracle",1,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40781750605.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python/AI应用开发工程师,1.4-1.8万,四川云图信息技术有限公司,成都,3-5年,本科,计算机软件,20-99人,民营,Java,1,http://company.zhaopin.com/CZ368746430.htm,http://jobs.zhaopin.com/CC368746430J40752674610.htm,14.0-18.0k,16000.0,16.0k
Python开发工程师,Java/C/C++/Python软件开发工程师,1-2万,外企德科数字技术有限公司,成都,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python, Web开发, MySQL, Oracle",5,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40777507405.htm,10.0-20.0k,15000.0,15.0k
Python开发工程师,Python开发,7000-12000元,大连思恒科技有限公司,大连,1-3年,大专,计算机软件,20-99人,民营,Python,1,http://company.zhaopin.com/CZ831821360.htm,http://jobs.zhaopin.com/CC831821360J40784576513.htm,7.0-12.0k,9500.0,9.5k
Python开发工程师,Python开发工程师-大安全 -郑州（六险一金 线上面试）正编,1.1-2万·14薪,外企德科数字技术有限公司,郑州,3-5年,本科,专业技术服务,10000人以上,合资,Python,1,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40760876605.htm,11.0-20.0k,15500.0,15.5k
Python开发工程师,Python开发工程师,9000-16000元,软通动力信息技术(集团)股份有限公司,西安,1-3年,本科,互联网,10000人以上,民营,"Python, 后端开发, python爬虫, Linux, Shell, 机器学习",3,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40162521516.htm,9.0-16.0k,12500.0,12.5k
Python开发工程师,软件开发（接受延毕断档 面试辅导 0经验）,1.5-3万·14薪,外企德科数字技术有限公司,杭州,经验不限,本科,专业技术服务,10000人以上,合资,"Java, C++, Python, MySQL, Oracle",10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40781891105.htm,15.0-30.0k,22500.0,22.5k
数据分析师,数据分析专员,4000-5000元,华彬快速消费品投资管理有限公司,贵阳,1-3年,本科,快速消费品,1000-9999人,外商独资,"数据分析, 需求分析, 数据建模, 大数据分析, 数据采集",1,http://company.zhaopin.com/CZ392465730.htm,http://jobs.zhaopin.com/CC392465730J40156617201.htm,4.0-5.0k,4500.0,4.5k
数据分析师,大数据分析工程师,1.4-2万,武汉东风保险经纪有限公司,武汉,3-5年,本科,证券/期货,100-299人,国企,"数据建模, Python",1,http://company.zhaopin.com/CZ361558410.htm,http://jobs.zhaopin.com/CC361558410J40680612806.htm,14.0-20.0k,17000.0,17.0k
数据分析师,储备干部（管见生）数据分析员、IT员,5000-8000元,博岳通信,石家庄,经验不限,本科,运营商/增值服务,10000人以上,民营,本科以上,15,http://company.zhaopin.com/CZ351377410.htm,http://jobs.zhaopin.com/CC351377410J40693258101.htm,5.0-8.0k,6500.0,6.5k
数据分析师,数据分析实习生,2000-3000元,泉州市赛奥朗科技贸易有限公司,泉州,经验不限,本科,贸易/进出口,20-99人,民营,"Python, 数据治理, 数据挖掘, 数据建模",1,http://company.zhaopin.com/CZL1493457540.htm,http://jobs.zhaopin.com/CCL1493457540J40698513201.htm,2.0-3.0k,2500.0,2.5k
数据分析师,货品分析专员,5000-7000元,海澜之家集团股份有限公司,无锡,经验不限,本科,纺织业/服饰产品加工制造,10000人以上,民营,"商品数据分析, 库销比, 复盘分析, SPSS, excel",1,http://company.zhaopin.com/CZ409501220.htm,http://jobs.zhaopin.com/CC409501220J40785310413.htm,5.0-7.0k,6000.0,6.0k
数据分析师,数据分析助理,4000-6000元,山东众顺管理咨询服务有限公司,潍坊,经验不限,本科,运营商/增值服务,20-99人,民营,数据分析,1,http://company.zhaopin.com/CZL1446753190.htm,http://jobs.zhaopin.com/CCL1446753190J40738577801.htm,4.0-6.0k,5000.0,5.0k
数据分析师,【博乐】NewStar管培生岗-经营分析类（正式编制 ——非销售）,5000-6000元,中国平安人寿保险股份有限公司新疆分公司,博尔塔拉,经验不限,本科,保险,10000人以上,股份制企业,管培生,2,http://company.zhaopin.com/CZ342660810.htm,http://jobs.zhaopin.com/CC342660810J40587434904.htm,5.0-6.0k,5500.0,5.5k
数据分析师,数据分析,9000-15000元,和韵轩信息技术(上海)有限公司,重庆,经验不限,大专,IT服务,20-99人,其他,"数据治理, 数据挖掘, 数据建模, Sql, Python, R语言",3,http://company.zhaopin.com/CZL1494188270.htm,http://jobs.zhaopin.com/CCL1494188270J40780421012.htm,9.0-15.0k,12000.0,12.0k
数据分析师,大数据分析专员,7000-9000元,福州市马尾区祥泰企业管理合伙企业(有限合伙),杭州,经验不限,大专,企业服务,20-99人,其他,"五险一金, 周末双休",3,http://company.zhaopin.com/CZL1492479740.htm,http://jobs.zhaopin.com/CCL1492479740J40780854915.htm,7.0-9.0k,8000.0,8.0k
数据分析师,长白班邯郸数据分析,4000-5000元,河北鸿联九五信息产业有限公司,邯郸,经验不限,大专,IT服务,10000人以上,民营,数据分析,1,http://company.zhaopin.com/CZ214743410.htm,http://jobs.zhaopin.com/CC214743410J40754195007.htm,4.0-5.0k,4500.0,4.5k
数据分析师,数据分析研究员,4000-6000元,江西省众意信息咨询有限公司,南昌,经验不限,本科,咨询服务,100-299人,民营,SPSS,5,http://company.zhaopin.com/CC529202126.htm,http://jobs.zhaopin.com/CC529202120J40709765702.htm,4.0-6.0k,5000.0,5.0k
数据分析师,数据分析专员,4000-7000元,北京鸿联九五信息产业有限公司大同分公司,长沙,1-3年,大专,互联网,10000人以上,国企,熟练EXCEL,2,http://company.zhaopin.com/CZL1291377680.htm,http://jobs.zhaopin.com/CCL1291377680J40733402601.htm,4.0-7.0k,5500.0,5.5k
数据分析师,数据分析/计划专员（接受无经验）,5000-7000元,深圳威罗帕服饰有限公司,中山,经验不限,本科,贸易/进出口,20-99人,民营,"销售数据分析, FBA海外仓发货计划, 供应链管理, excel, ERP",2,http://company.zhaopin.com/CZ643017780.htm,http://jobs.zhaopin.com/CC643017780J40425154009.htm,5.0-7.0k,6000.0,6.0k
数据分析师,物流经营分析岗-T6336T,1.6-2万·16薪,京东集团,济南,经验不限,学历不限,互联网,10000人以上,合资,"团队氛围好, 经营过程管控",1,http://company.zhaopin.com/CZ192921310.htm,http://jobs.zhaopin.com/CC192921310J40710412209.htm,16.0-20.0k,18000.0,18.0k
数据分析师,数据分析（业务方向）,5000-9000元·14薪,柳工,柳州,经验不限,本科,金属制品业,1000-9999人,国企,"数据治理, 数据分析",1,http://company.zhaopin.com/CZ131197040.htm,http://jobs.zhaopin.com/CC131197040J40750060513.htm,5.0-9.0k,7000.0,7.0k
数据分析师,数据分析专员,1-1.4万,外企德科,上海,1-3年,本科,人力资源服务,1000-9999人,合资,"数据建模, 报表开发, 数据治理, Sql, Python, BI工具, Power BI",1,http://company.zhaopin.com/CZ138117190.htm,http://jobs.zhaopin.com/CC138117190J40781882105.htm,10.0-14.0k,12000.0,12.0k
数据分析师,数据分析助理,4000-7000元·13薪,天津福硕鑫盛科技有限公司,天津,经验不限,大专,互联网,100-299人,民营,"数据治理, 数据仓库, 数据挖掘",3,http://company.zhaopin.com/CZL1460348110.htm,http://jobs.zhaopin.com/CCL1460348110J40653831112.htm,4.0-7.0k,5500.0,5.5k
数据分析师,数据分析（短期-6个月）,1.4-1.5万,博彦科技承德有限公司,宁波,3-5年,大专,IT服务,1000-9999人,股份制企业,"数据治理, 报表开发, 数据建模, Sql, BI工具, QUICK BI, DATAWORKS, ADB",1,http://company.zhaopin.com/CZ637366030.htm,http://jobs.zhaopin.com/CC637366030J40678062106.htm,14.0-15.0k,14500.0,14.5k
